Phoneme1,Phoneme2,EuclideanDistance
UH,F,1.8681541692269403
UH,V,1.57797338380595
UH,TH,1.57797338380595
UH,DH,1.2206555615733703
UH,S,1.57797338380595
UH,Z,1.2206555615733703
UH,SH,1.8681541692269403
UH,ZH,1.57797338380595
UH,HH,3.3896902513356584
UH,M,2.2561028345356955
UH,N,1.044030650891055
UH,NG,2.2561028345356955
UH,L,1.6401219466856727
UH,R,2.0591260281974
UH,Y,2.6999999999999997
UH,W,3.207802986469088
P,B,1.0
P,T,2.0
P,D,2.23606797749979
P,K,4.0
P,G,4.123105625617661
P,CH,3.0413812651491097
P,JH,3.2015621187164243
P,F,1.4142135623730951
P,V,1.7320508075688772
P,TH,2.23606797749979
P,DH,2.449489742783178
P,S,2.23606797749979
P,Z,2.449489742783178
P,SH,3.1622776601683795
P,ZH,3.3166247903554
P,HH,5.0990195135927845
P,M,2.23606797749979
P,N,3.0
P,NG,4.58257569495584
P,L,3.7416573867739413
P,R,4.153311931459037
P,Y,5.0990195135927845
P,W,4.123105625617661
B,T,2.23606797749979
B,D,2.0
B,K,4.123105625617661
B,G,4.0
B,CH,3.2015621187164243
B,JH,3.0413812651491097
B,F,1.7320508075688772
B,V,1.4142135623730951
B,TH,2.449489742783178
B,DH,2.23606797749979
B,S,2.449489742783178
B,Z,2.23606797749979
B,SH,3.3166247903554
B,ZH,3.1622776601683795
B,HH,5.196152422706632
B,M,2.0
B,N,2.8284271247461903
B,NG,4.47213595499958
B,L,3.605551275463989
B,R,4.031128874149275
B,Y,5.0
B,W,4.0
T,D,1.0
T,K,2.0
T,G,2.23606797749979
T,CH,1.118033988749895
T,JH,1.5
T,F,1.4142135623730951
T,V,1.7320508075688772
T,TH,1.0
T,DH,1.4142135623730951
T,S,1.0
T,Z,1.4142135623730951
T,SH,1.4142135623730951
T,ZH,1.7320508075688772
T,HH,3.1622776601683795
T,M,3.0
T,N,2.23606797749979
T,NG,3.0
T,L,3.1622776601683795
T,R,3.640054944640259
T,Y,4.242640687119285
T,W,4.58257569495584
D,K,2.23606797749979
D,G,2.0
D,CH,1.5
D,JH,1.118033988749895
D,F,1.7320508075688772
D,V,1.4142135623730951
D,TH,1.4142135623730951
D,DH,1.0
D,S,1.4142135623730951
D,Z,1.0
D,SH,1.7320508075688772
D,ZH,1.4142135623730951
D,HH,3.3166247903554
D,M,2.8284271247461903
D,N,2.0
D,NG,2.8284271247461903
D,L,3.0
D,R,3.5
D,Y,4.123105625617661
D,W,4.47213595499958
K,G,1.0
K,CH,1.118033988749895
K,JH,1.5
K,F,3.1622776601683795
K,V,3.3166247903554
K,TH,2.23606797749979
K,DH,2.449489742783178
K,S,2.23606797749979
K,Z,2.449489742783178
K,SH,1.4142135623730951
K,ZH,1.7320508075688772
K,HH,1.4142135623730951
K,M,4.58257569495584
K,N,3.0
K,NG,2.23606797749979
K,L,3.7416573867739413
K,R,4.153311931459037
K,Y,4.242640687119285
K,W,5.744562646538029
G,CH,1.5
G,JH,1.118033988749895
G,F,3.3166247903554
G,V,3.1622776601683795
G,TH,2.449489742783178
G,DH,2.23606797749979
G,S,2.449489742783178
G,Z,2.23606797749979
G,SH,1.7320508075688772
G,ZH,1.4142135623730951
G,HH,1.7320508075688772
G,M,4.47213595499958
G,N,2.8284271247461903
G,NG,2.0
G,L,3.605551275463989
G,R,4.031128874149275
G,Y,4.123105625617661
G,W,5.656854249492381
CH,JH,1.0
CH,F,2.0615528128088303
CH,V,2.29128784747792
CH,TH,1.118033988749895
CH,DH,1.5
CH,S,1.118033988749895
CH,Z,1.5
CH,SH,0.5
CH,ZH,1.118033988749895
CH,HH,2.0615528128088303
CH,M,3.5
CH,N,2.0615528128088303
CH,NG,2.0615528128088303
CH,L,2.8722813232690143
CH,R,3.3166247903554
CH,Y,3.640054944640259
CH,W,4.716990566028302
JH,F,2.29128784747792
JH,V,2.0615528128088303
JH,TH,1.5
JH,DH,1.118033988749895
JH,S,1.5
JH,Z,1.118033988749895
JH,SH,1.118033988749895
JH,ZH,0.5
JH,HH,2.29128784747792
JH,M,3.3541019662496847
JH,N,1.8027756377319946
JH,NG,1.8027756377319946
JH,L,2.692582403567252
JH,R,3.1622776601683795
JH,Y,3.5
JH,W,4.6097722286464435
F,V,1.0
F,TH,1.0
F,DH,1.4142135623730951
F,S,1.0
F,Z,1.4142135623730951
F,SH,2.0
F,ZH,2.23606797749979
F,HH,4.0
F,M,1.7320508075688772
F,N,1.7320508075688772
F,NG,3.3166247903554
F,L,2.449489742783178
F,R,2.8722813232690143
F,Y,3.7416573867739413
F,W,3.3166247903554
V,TH,1.4142135623730951
V,DH,1.0
V,S,1.4142135623730951
V,Z,1.0
V,SH,2.23606797749979
V,ZH,2.0
V,HH,4.123105625617661
V,M,1.4142135623730951
V,N,1.4142135623730951
V,NG,3.1622776601683795
V,L,2.23606797749979
V,R,2.692582403567252
V,Y,3.605551275463989
V,W,3.1622776601683795
TH,DH,1.0
TH,S,0.0
TH,Z,1.0
TH,SH,1.0
TH,ZH,1.4142135623730951
TH,HH,3.0
TH,M,2.449489742783178
TH,N,1.4142135623730951
TH,NG,2.449489742783178
TH,L,2.23606797749979
TH,R,2.692582403567252
TH,Y,3.3166247903554
TH,W,3.7416573867739413
DH,S,1.0
DH,Z,0.0
DH,SH,1.4142135623730951
DH,ZH,1.0
DH,HH,3.1622776601683795
DH,M,2.23606797749979
DH,N,1.0
DH,NG,2.23606797749979
DH,L,2.0
DH,R,2.5
DH,Y,3.1622776601683795
DH,W,3.605551275463989
S,Z,1.0
S,SH,1.0
S,ZH,1.4142135623730951
S,HH,3.0
S,M,2.449489742783178
S,N,1.4142135623730951
S,NG,2.449489742783178
S,L,2.23606797749979
S,R,2.692582403567252
S,Y,3.3166247903554
S,W,3.7416573867739413
Z,SH,1.4142135623730951
Z,ZH,1.0
Z,HH,3.1622776601683795
Z,M,2.23606797749979
Z,N,1.0
Z,NG,2.23606797749979
Z,L,2.0
Z,R,2.5
Z,Y,3.1622776601683795
Z,W,3.605551275463989
SH,ZH,1.0
SH,HH,2.0
SH,M,3.3166247903554
SH,N,1.7320508075688772
SH,NG,1.7320508075688772
SH,L,2.449489742783178
SH,R,2.8722813232690143
SH,Y,3.1622776601683795
SH,W,4.358898943540674
ZH,HH,2.23606797749979
ZH,M,3.1622776601683795
ZH,N,1.4142135623730951
ZH,NG,1.4142135623730951
ZH,L,2.23606797749979
ZH,R,2.692582403567252
ZH,Y,3.0
ZH,W,4.242640687119285
HH,M,5.196152422706632
HH,N,3.3166247903554
HH,NG,1.7320508075688772
HH,L,3.7416573867739413
HH,R,4.031128874149275
HH,Y,3.7416573867739413
HH,W,5.916079783099616
M,N,2.0
M,NG,4.0
M,L,2.23606797749979
M,R,2.5
M,Y,3.605551275463989
M,W,2.0
N,NG,2.0
N,L,1.0
N,R,1.5
N,Y,2.23606797749979
N,W,2.8284271247461903
NG,L,2.23606797749979
NG,R,2.5
NG,Y,2.23606797749979
NG,W,4.47213595499958
L,R,0.5
L,Y,1.4142135623730951
L,W,2.23606797749979
R,Y,1.118033988749895
R,W,2.0615528128088303
Y,W,3.0
